"","abortion","age","aid.blacks","aid.blacksCD","aid.blacksCR","aid.blacksD","aid.blacksR","anger.dem","anger.rep","auth.1","auth.2","auth.3","auth.4","bible","black","catholic","church","college","defense.spendingCD","defense.spendingCR","defense.spendingD","defense.spendingR","dem.afraid","dem.angry","dem.cares","dem.decent","dem.hope","dem.know","dem.leader","efficacy1","efficacy2","efficacy3","efficacy4","efficacy5","efficacy6","efficacy7","egal1","egal2","egal3","egal4","fear.dem","fear.rep","feel.asian","feel.black","feel.latino","feeling.dem","feeling.demc","feeling.rep","feeling.repc","female","feminists.therm","fundamental.therm","gay.therm","gays.adoption","gays.military","gov.services","gov.servicesCD","gov.servicesCR","gov.servicesD","gov.servicesR","hispanic","hope.dem","hope.rep","ideology","ideologyCD","ideologyCR","ideologyD","ideologyR","immigrants","income","interest.elections","interest.politics","jewish","jobs","jobsCD","jobsCR","jobsD","jobsR","know.interview.post","know.interview.pre","media","mode","moral1","moral2","moral3","moral4","nonwhite","other","other.race","p1","p2","p3","p4","p5","pid","primary","protect.gays","proud.dem","proud.rep","public.insurance","public.insuranceCD","public.insuranceCR","rep.afraid","rep.angry","rep.cares","rep.decent","rep.hope","rep.know","rep.leader","rid","rr1","rr2","rr3","rr4","split.house","split.senate","union.therm","vote","vote.house","vote.senate","voted","weights.all","weights.ftf","weights.web","white","women.role","women.roleCD","women.roleCR","year","rid2","group","racial.resentment","authoritarianism","efficacy","knowledge","dem_traits","rep_traits","dem_anxiety","rep_anxiety","participation"
"33",1,0.175,4,NA,NA,NA,NA,1,1,1,2,2,1,2,0,0,0,0,3,6,3,6,2,2,3,NA,2,3,3,3,1,2,1,2,3,3,1,1,2,1,1,1,70,60,70,70,70,15,30,0,70,30,70,0,0,5,3,6,3,6,0,1,1,0,3,6,3,6,3,0,2,1,0,3,3,6,3,6,4,4,1,"FTF",1,2,2,1,0,1,0,0,0,1,0,1,0.333333333333333,1,0,1,1,2,NA,NA,2,2,1,NA,2,2,2,1002,4,1,2,NA,"DP-DC","DP-DS",70,0,0,0,1,1,1,1,1,1,NA,NA,1992,33,1,0.333333333333333,0.5,2.33333333333333,0.75,0.333333333333333,0.777777777777778,1,1,2
"35",3,0.1625,7,NA,NA,3,5,1,0,NA,NA,NA,NA,3,0,0,1,0,2,6,3,6,1,2,2,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,15,0,60,60,1,NA,NA,NA,1,1,2,5,5,5,NA,0,0,1,0.833333333333333,2,5,NA,NA,NA,NA,2,1,0,7,2,7,3,7,NA,3,NA,"FTF",NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,0,0,4,NA,NA,1,1,3,NA,2,4,3,1002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7647,0.7647,0.7647,1,4,NA,NA,2000,35,1,NA,NA,NA,0.5,0.833333333333333,0.222222222222222,0.5,0,0
"42",1,0.3375,7,2,6,1,7,0,1,1,2,1,1,2,0,0,0,1,2,6,1,7,1,1,2,NA,2,3,2,2,1,1,1,2,3,3,3,5,2,3,0,0,50,50,50,60,60,60,70,1,50,30,50,0,0,5,2,6,1,7,0,1,1,0.5,2,6,2,6,NA,1,2,1,0,5,2,6,2,6,4,5,1,"FTF",3,3,2,3,0,0,0,0,0,0,0,0,0.666666666666667,NA,NA,1,1,5,NA,NA,1,2,2,NA,2,3,3,1003,3,4,3,NA,"RP-RC","RP-DS",40,1,1,0,1,0.7625,0.7625,0.7625,1,1,1,5,2000,42,1,0.583333333333333,0.25,2,0.875,0.555555555555556,0.444444444444445,0,0.5,0
"43",2,0.3125,6,NA,NA,NA,NA,0,0,1,2,1,1,2,0,0,0,0,NA,NA,NA,NA,1,1,2,NA,1,3,2,1,2,1,1,3,1,NA,2,2,3,3,0,0,50,50,50,50,50,50,70,0,50,50,40,0,0,5,NA,NA,NA,NA,0,0,1,0.333333333333333,NA,NA,NA,NA,3,0,1,1,0,7,NA,NA,NA,NA,2,1,0,"FTF",4,3,2,2,0,0,0,0,0,0,0,0,0.5,NA,0,0,1,5,NA,NA,1,1,2,NA,2,3,3,1003,2,4,4,NA,NA,NA,30,NA,NA,NA,0,0.4446,0.4446,0.4446,1,1,NA,NA,2004,43,1,0.583333333333333,0.25,1.6,0.125,0.555555555555556,0.444444444444445,0,0,0
"54",4,0.175,5,NA,NA,NA,NA,1,0,2,2,2,1,1,0,1,1,0,1,3,1,2,2,2,2,NA,1,3,3,3,3,2,1,3,3,2,2,4,3,2,1,1,50,50,50,50,40,60,70,1,70,50,50,1,0,4,2,5,3,5,0,0,1,NA,4,3,4,3,4,1,2,1,0,4,5,3,3,3,3,3,1,"FTF",3,5,2,4,0,0,0,0,0,0,0,0,0.666666666666667,1,NA,0,1,2,NA,NA,2,1,3,NA,2,2,3,1005,4,4,5,NA,"RP-RC",NA,85,1,1,NA,1,1,1,1,1,1,NA,NA,1992,54,1,0.833333333333333,0.75,2.66666666666667,0.5,0.444444444444445,0.444444444444445,1,0.5,0
"56",1,0.4625,6,5,6,4,4,1,1,1,2,1,1,2,0,1,0,0,3,6,3,5,1,2,3,NA,2,3,2,2,3,1,2,3,3,1,1,1,3,1,0,1,60,60,70,70,70,40,40,1,60,85,85,0,0,1,3,5,3,5,0,1,0,0.5,3,6,2,6,NA,0,2,1,0,5,5,6,5,4,3,4,1,"FTF",2,4,1,4,0,0,0,0,0,0,0,0,0.166666666666667,NA,0,0,0,1,NA,NA,2,2,1,NA,1,2,2,1005,4,2,2,NA,"DP-DC","DP-DS",70,0,0,0,1,0.3564,0.3564,0.3564,1,1,2,5,2000,56,1,0.416666666666667,0.25,2.16666666666667,0.625,0.444444444444445,0.777777777777778,0.5,1,0
"63",4,0.025,1,3,3,NA,NA,0,0,2,2,1,1,3,0,0,1,0,5,5,NA,NA,1,1,4,NA,1,4,3,3,2,2,2,3,3,1,1,2,1,2,0,0,NA,NA,NA,70,70,70,85,1,97,97,97,0,0,NA,3,4,NA,NA,0,0,1,NA,NA,NA,2,6,NA,1,1,1,0,6,4,4,NA,NA,1,2,1,"FTF",2,3,1,3,0,0,0,0,0,0,0,0,0.333333333333333,NA,0,0,0,2,NA,NA,1,1,4,NA,2,4,4,1006,4,1,1,NA,NA,NA,50,NA,NA,NA,0,1.868,1.868,1.868,1,1,1,1,2000,63,1,0.25,0.5,2.33333333333333,0.125,0.111111111111111,0,0,0,0
"70",1,0.5375,2,2,5,1,7,0,1,1,2,1,1,1,0,0,0,1,5,6,2,7,1,1,3,NA,2,4,4,3,3,2,2,3,3,3,1,4,3,1,0,0,50,50,50,75,85,25,0,0,50,0,50,0,0,3,3,5,2,7,0,1,0,NA,NA,NA,3,6,NA,0,2,1,1,3,2,7,2,6,5,5,1,"FTF",2,2,2,1,0,0,0,1,0,0,0,1,0,NA,0,0,0,4,NA,NA,1,2,2,NA,1,1,2,1007,2,1,1,NA,"DP-DC","DP-DS",50,0,0,0,1,0.8071,0.8071,0.8071,1,2,3,NA,2000,70,1,0.0833333333333333,0.25,2.83333333333333,1,0.111111111111111,0.777777777777778,0,0.5,2
"71",1,0.4,3,3,4,3,5,0,0,1,2,1,1,1,0,0,0,1,4,5,4,6,1,1,3,NA,1,3,3,2,1,1,1,2,3,NA,1,2,2,2,0,0,50,50,50,60,60,60,30,0,50,40,50,1,0,4,3,6,3,6,0,0,0,0.5,4,7,3,6,3,1,2,0,0,NA,3,6,3,6,5,4,1,"FTF",4,2,2,2,0,1,0,0,0,0,0,0,0.333333333333333,NA,0,0,0,3,NA,NA,1,1,2,NA,1,3,2,1007,4,2,3,NA,"DP-DC",NA,40,0,0,NA,1,1.5305,1.5305,1.5305,1,1,2,3,2004,71,1,0.5,0.25,1.8,0.875,0.333333333333333,0.555555555555556,0,0,0
"75",1,0.0875,NA,NA,NA,NA,NA,0,0,1,2,1,1,2,0,0,0,0,3,4,3,5,2,1,3,NA,2,3,4,3,1,1,1,2,1,1,1,2,2,1,1,1,70,70,85,70,60,40,40,0,70,85,70,0,0,1,5,7,5,6,0,1,1,0.166666666666667,4,6,5,7,3,0,2,1,0,5,5,7,5,6,3,3,1,"FTF",2,5,1,4,0,0,0,0,0,0,0,0,0.333333333333333,1,0,0,1,3,NA,NA,2,1,1,NA,2,3,1,1008,3,2,2,NA,NA,NA,50,NA,NA,NA,1,1,1,1,1,1,NA,NA,1992,75,1,0.333333333333333,0.25,1.5,0.5,0.222222222222222,0.777777777777778,0.5,0.5,0
"77",1,0.2625,6,3,5,3,5,0,0,1,2,2,1,2,0,0,0,1,3,6,3,6,1,1,2,NA,1,4,2,3,3,2,2,3,3,1,3,4,3,3,0,0,NA,NA,NA,40,65,40,60,1,97,40,97,0,NA,6,2,5,2,5,0,0,0,0.5,2,6,2,6,NA,1,2,1,0,5,3,6,3,6,3,4,1,"FTF",2,4,1,2,0,1,0,0,0,0,0,0,0.666666666666667,NA,0,0,0,5,NA,NA,1,1,2,NA,1,3,2,1008,4,4,5,NA,"DP-DC","DP-DS",40,0,0,0,1,0.7442,0.7442,0.7442,1,1,1,4,2000,77,1,0.833333333333333,0.5,2.5,0.625,0.444444444444445,0.555555555555556,0,0,0
"78",3,0.6,6,2,6,2,6,1,0,2,2,2,2,2,0,1,1,1,1,7,1,7,2,2,1,NA,1,2,1,2,1,1,2,3,1,NA,1,2,2,2,1,0,NA,NA,NA,50,0,97,97,0,50,40,0,1,1,3,1,3,1,4,0,0,1,NA,1,6,1,6,5,0,2,1,0,7,1,7,1,7,5,5,0,"FTF",4,5,5,4,0,0,0,0,0,0,1,1,1,NA,NA,0,1,5,NA,NA,1,1,4,NA,2,4,4,1008,5,4,4,NA,"RP-RC","RP-DS",30,1,1,0,1,0.5807,0.5807,0.5807,1,1,NA,NA,2004,78,1,0.833333333333333,1,1.6,1,0.888888888888889,0,1,0,2
"82",1,0.75,7,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,3,0,1,1,0,NA,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,70,70,70,97,1,NA,NA,NA,NA,NA,5,NA,7,4,7,0,NA,1,NA,5,1,2,4,NA,0,1,0,0,1,5,1,3,1,NA,1,NA,"FTF",NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0.833333333333333,0,NA,NA,1,1,NA,NA,1,1,4,NA,2,3,4,1009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,4,NA,NA,1992,82,1,NA,NA,NA,0,NA,0.111111111111111,NA,0,0
"85",2,0.3875,NA,NA,NA,NA,NA,0,0,2,2,2,1,3,0,0,0,0,4,6,NA,6,1,1,2,NA,1,2,2,3,1,2,1,2,1,NA,2,3,2,2,0,0,85,85,85,50,50,97,85,1,70,70,40,0,0,NA,NA,2,NA,2,0,0,0,NA,NA,NA,NA,NA,3,NA,2,1,0,NA,NA,NA,NA,NA,2,2,1,"FTF",4,4,2,3,0,0,0,0,0,0,0,0,0.833333333333333,NA,NA,0,0,NA,NA,NA,1,1,3,NA,1,3,4,1009,5,2,3,NA,NA,NA,50,1,NA,NA,1,1.4992,1.4992,1.4992,1,NA,NA,NA,2004,85,1,0.583333333333333,0.75,1.8,0.25,0.666666666666667,0.222222222222222,0,0,0
"89",2,0.125,3,NA,NA,NA,NA,1,0,2,2,1,1,2,0,0,1,0,5,6,5,6,2,2,3,NA,1,2,3,2,1,1,1,2,2,1,1,4,2,2,1,1,50,50,50,50,30,50,60,1,40,50,40,1,0,1,5,3,6,4,0,0,1,0.5,3,5,4,4,4,0,2,1,0,NA,3,5,NA,NA,2,3,1,"FTF",2,3,2,4,0,0,0,0,0,0,0,1,0.666666666666667,0,0,0,0,3,NA,NA,2,1,3,NA,2,3,2,101,4,2,3,NA,NA,NA,60,NA,NA,NA,0,1,1,1,1,6,NA,NA,1992,89,1,0.5,0.5,1.5,0.375,0.444444444444445,0.444444444444445,1,0.5,1
"91",1,0.3375,5,NA,4,NA,4,0,0,2,2,2,2,3,0,1,0,1,1,6,1,6,1,1,NA,NA,1,3,NA,3,3,2,2,2,3,NA,1,2,4,2,0,0,85,85,85,0,0,97,97,1,70,50,50,0,0,3,NA,2,NA,3,0,0,1,0.5,3,6,2,6,5,1,2,1,0,4,NA,4,NA,4,3,3,1,"FTF",5,4,2,2,0,0,0,0,0,1,0,0,1,NA,0,0,1,4,NA,NA,1,1,4,NA,2,4,4,101,2,4,4,NA,"RP-RC","RP-RS",70,1,1,1,1,1.1242,1.1242,1.1242,1,1,2,2,2004,91,1,0.583333333333333,1,2.6,0.5,0.333333333333333,0,0,0,1
"92",1,0.475,4,2,6,NA,NA,0,0,1,1,2,1,2,0,0,0,1,2,6,NA,NA,1,1,4,NA,2,4,3,2,2,2,2,3,3,1,1,2,4,NA,0,0,NA,NA,NA,70,85,30,60,0,97,97,97,NA,NA,4,2,6,NA,NA,0,1,1,0.333333333333333,2,6,2,6,3,0,NA,0,0,4,2,6,NA,NA,4,4,1,"FTF",2,5,1,3,0,0,0,0,0,0,0,1,0.333333333333333,NA,0,NA,1,2,2,6,1,1,2,NA,2,3,3,101,4,2,3,NA,NA,NA,97,0,NA,NA,1,0.7881,0.7881,0.7881,1,1,2,5,2008,92,1,0.5,0.25,2.16666666666667,0.75,0.111111111111111,0.444444444444445,0,0,1
"93",2,0.325,6,2,6,NA,NA,0,0,1,2,2,2,3,0,0,0,0,3,5,2,7,2,1,NA,NA,1,NA,NA,3,NA,1,NA,NA,NA,NA,2,4,3,3,1,0,50,50,50,40,30,60,70,0,50,50,50,0,NA,5,1,4,2,4,0,0,1,0.5,6,3,6,4,5,0,2,1,0,5,2,7,2,6,5,4,1,"FTF",2,4,3,4,0,0,0,0,0,0,0,1,0.833333333333333,1,NA,1,1,6,1,4,1,1,NA,NA,2,NA,NA,101,4,5,5,5,"RP-RC","RP-DS",0,1,1,0,1,2.7365,2.7365,0,1,NA,NA,NA,2012,93,1,0.9375,0.75,2,0.875,NA,NA,0.5,0,1
"98",3,0.9125,7,NA,NA,NA,NA,NA,0,2,2,2,1,2,0,0,1,0,NA,5,4,5,NA,NA,1,NA,NA,2,NA,2,3,2,2,3,3,NA,3,5,2,4,NA,0,40,25,25,NA,NA,NA,NA,1,50,60,25,NA,0,3,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,3,0,1,0,0,5,NA,5,NA,NA,2,2,1,"FTF",2,4,2,2,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,5,NA,NA,1,1,2,NA,1,1,2,1010,4,2,2,NA,NA,NA,30,NA,NA,NA,0,0.5717,0.5717,0.5717,1,5,5,NA,2004,98,1,0.416666666666667,0.75,2.6,0.25,0.833333333333333,0.777777777777778,NA,0,1
"104",3,0.4125,2,2,5,3,5,0,0,2,2,1,1,NA,0,0,0,0,NA,6,2,5,1,1,3,NA,2,4,3,3,1,1,1,2,3,1,1,3,1,2,0,0,NA,85,70,97,50,50,50,0,30,NA,15,NA,1,2,2,6,2,6,0,1,0,NA,NA,NA,2,6,NA,0,1,1,0,3,3,6,1,6,2,2,1,"FTF",2,5,1,3,0,0,0,0,0,0,0,0,0,NA,NA,1,1,3,NA,NA,1,1,2,NA,1,3,3,1011,1,2,2,NA,NA,"DP-DS",85,0,NA,0,1,0.5273,0.5273,0.5273,1,3,2,6,2000,104,1,0.166666666666667,0.5,1.83333333333333,0.25,0.222222222222222,0.444444444444445,0,0,0
"105",NA,0.5,5,NA,3,3,3,1,0,NA,NA,NA,NA,2,0,0,0,0,2,6,4,4,1,2,2,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,85,50,70,85,1,NA,NA,NA,NA,NA,NA,4,4,4,4,0,0,1,0.5,2,4,4,4,NA,1,2,1,0,4,3,4,4,4,NA,3,NA,"FTF",NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0.333333333333333,NA,NA,1,1,2,NA,NA,1,1,4,NA,2,4,3,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8713,0.8713,0.8713,1,1,NA,2,2004,105,1,NA,NA,NA,0.5,0.555555555555556,0.111111111111111,0.5,0,0
"111",1,0.1625,6,4,7,6,6,0,0,1,2,2,1,2,0,1,0,0,3,4,4,3,2,1,2,NA,1,3,1,3,2,2,1,2,3,1,4,3,2,2,1,0,40,50,60,60,40,40,60,1,97,40,85,0,0,4,3,5,4,3,0,0,1,0.166666666666667,4,3,3,6,NA,0,2,0,0,7,3,5,3,2,3,3,1,"FTF",4,4,4,4,0,0,0,0,0,0,0,1,0.166666666666667,NA,NA,0,1,5,NA,NA,1,1,3,NA,2,3,3,1012,5,2,2,NA,"DP-DC","DP-DS",97,0,0,0,1,0.4943,0.4943,0.4943,1,1,5,3,2000,111,1,0.5,0.5,2.16666666666667,0.5,0.666666666666667,0.333333333333333,0.5,0,1
"112",3,0.325,4,NA,NA,NA,NA,0,0,NA,2,2,1,2,0,0,0,0,2,5,3,6,1,1,2,NA,1,2,1,3,2,2,2,3,2,NA,1,3,3,3,0,0,50,50,50,40,40,70,95,1,NA,NA,50,1,NA,3,5,2,6,2,0,0,1,NA,2,NA,2,6,3,1,2,1,0,NA,NA,NA,NA,NA,4,3,1,"FTF",5,4,3,5,0,1,0,0,0,1,0,0,1,NA,0,0,1,4,NA,NA,1,1,4,NA,2,4,3,1012,5,3,4,NA,"RP-RC","RP-RS",40,1,1,1,1,1.4693,1.4693,1.4693,1,2,NA,NA,2004,112,1,0.75,0.666666666666667,2.4,0.625,0.777777777777778,0.111111111111111,0,0,1
"118",3,0.875,3,NA,NA,NA,NA,0,1,2,2,2,1,2,0,1,1,0,NA,NA,4,3,1,1,NA,NA,1,3,3,3,1,2,1,3,3,1,1,4,5,2,0,0,70,85,85,70,70,70,70,1,97,85,70,1,0,2,NA,NA,3,5,0,0,1,NA,NA,NA,2,5,NA,0,2,1,0,5,NA,NA,NA,NA,2,3,1,"FTF",5,5,5,5,0,0,0,0,0,0,0,0,0.666666666666667,NA,0,0,1,7,NA,NA,1,2,3,NA,2,4,3,1013,5,2,4,NA,"DP-DC","DP-DS",85,0,0,0,1,0.6806,0.6806,0.6806,1,1,NA,NA,2000,118,1,0.666666666666667,0.75,2.16666666666667,0.375,0.333333333333333,0.222222222222222,0,0.5,0
"119",3,0.425,6,5,6,5,6,0,0,2,2,1,1,2,0,0,1,1,3,5,3,6,1,1,2,NA,1,3,2,3,3,1,2,2,3,NA,2,2,3,3,0,0,85,85,85,40,40,70,70,1,40,70,70,1,1,5,2,5,2,4,0,0,1,0.666666666666667,3,6,3,6,3,1,2,1,0,5,3,6,2,6,3,4,0,"FTF",5,5,2,5,0,0,0,0,0,0,0,1,1,NA,1,0,0,5,NA,NA,1,1,3,NA,2,3,2,1013,4,3,3,NA,NA,"RP-RS",40,1,NA,1,1,1.313,1.313,1.313,1,4,4,4,2004,119,1,0.583333333333333,0.5,2.4,0.625,0.555555555555556,0.444444444444445,0,0,1
